"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1514990","≤0.06",0.06
"ERR1514992","≤0.06",0.06
"ERR1514993","≤0.06",0.06
"ERR1514995","≤0.06",0.06
"ERR1514996","≤0.06",0.06
"ERR1514997","≤0.06",0.06
"ERR1514998","≤0.06",0.06
"ERR1514999","≤0.06",0.06
"ERR1515000","0.12",0.12
"ERR1515001","≤0.06",0.06
"ERR1515003","≤0.06",0.06
"ERR1541259","≤0.06",0.06
"ERR1541260","1",1
"ERR1541262","1",1
"ERR1541263","1",1
"ERR1541265","2",2
"ERR1541266","1",1
"ERR1541277","≤0.06",0.06
"ERR1541281","32",32
"ERR1541282",">32",48
"ERR1541288",">32",48
"ERR1541289",">32",48
"ERR1541291","≤0.06",0.06
"ERR1541292","≤0.06",0.06
"ERR1541293","≤0.06",0.06
"ERR1541296","≤0.06",0.06
"ERR1541297","≤0.06",0.06
"ERR1541303","16",16
"ERR1541304","2",2
"ERR1541307","2",2
"ERR1541309","≤0.06",0.06
"ERR1541314","≤0.06",0.06
"ERR1541317","4",4
"ERR1541318","≤0.06",0.06
"ERR1541319","2",2
"ERR1541322","2",2
"ERR1541324","2",2
"ERR1541325","2",2
"ERR1541327",">32",48
"ERR1541330","0.12",0.12
"ERR1541331","32",32
"ERR1541332","32",32
"ERR1541334","2",2
"ERR1541335",">32",48
"ERR1541336","4",4
"ERR1541339","≤0.06",0.06
"ERR1541342","≤0.06",0.06
"ERR1541343","≤0.06",0.06
"ERR1541345","≤0.06",0.06
"ERR1541347","≤0.06",0.06
"ERR1541348","≤0.06",0.06
"ERR1541351",">32",48
"ERR1541353","4",4
"ERR1541357","≤0.06",0.06
"ERR1541358","≤0.06",0.06
"ERR1541362","≤0.06",0.06
"ERR1541363",">32",48
"ERR1541367","2",2
"ERR1541368","≤0.06",0.06
"ERR1541371","≤0.06",0.06
"ERR1541376","1",1
"ERR1541377","32",32
"ERR1541384","2",2
"ERR1541385",">32",48
"ERR1541387","≤0.06",0.06
"ERR1541390","≤0.06",0.06
"ERR1541396","≤0.06",0.06
"ERR1541402","≤0.06",0.06
"ERR1541403","≤0.06",0.06
"ERR1541408","≤0.06",0.06
"ERR1541410","≤0.06",0.06
